Fold,Accuracy,Precision,Recall,F1,AUC
1,0.9500580720092915,0.9504132231404959,0.8812260536398467,0.9145129224652088,0.9825925925925926
2,0.9396051103368177,0.9098039215686274,0.8888888888888888,0.8992248062015504,0.9730204342273308
3,0.9547038327526133,0.9512195121951219,0.896551724137931,0.9230769230769231,0.9819795657726693
4,0.9662790697674418,0.963855421686747,0.9230769230769231,0.9430255402750491,0.9936025641025641
5,0.9569767441860465,0.9665271966527197,0.8884615384615384,0.9258517034068137,0.9836730769230769
