Fold,Accuracy,Precision,Recall,F1,AUC
1,0.9512195121951219,0.9433198380566802,0.89272030651341,0.9173228346456693,0.9832120051085568
2,0.9396051103368177,0.9230769230769231,0.8735632183908046,0.8976377952755905,0.9746487867177523
3,0.9512195121951219,0.9362549800796812,0.9003831417624522,0.91796875,0.9865772669220945
4,0.9651162790697675,0.96,0.9230769230769231,0.9411764705882353,0.9899294871794871
5,0.9569767441860465,0.9442231075697212,0.9115384615384615,0.9275929549902152,0.982801282051282
